caseid,person_id,arrest_date,dispos_date,treat,re_arrest,prior_arrests
57514,1,2012-01-04,2012-03-27,0,0,2
39970,1,2012-07-11,2012-10-20,1,0,3
88413,1,2013-04-04,2013-06-22,0,0,4
40216,5,2012-03-31,2013-03-25,0,0,2
92255,6,2012-12-09,2013-11-09,0,0,3
26516,7,2012-02-25,2012-03-26,0,0,0
2913,8,2012-10-06,2013-12-29,1,1,4
6304,8,2013-04-06,2013-07-07,0,0,5
82277,9,2012-01-12,2012-11-08,0,0,1
31881,9,2013-09-25,2013-12-29,1,0,2
11354,10,2013-07-03,2014-12-13,1,0,3
49941,11,2013-03-17,2013-05-11,1,0,3
59616,12,2013-06-25,2013-08-23,0,0,1
88153,13,2012-10-29,2013-01-21,1,1,8
40377,13,2012-11-04,2013-03-05,1,0,9
39447,13,2013-07-31,2013-08-16,1,0,10
56468,14,2013-04-05,2013-10-09,1,0,2
19842,15,2012-03-31,2013-09-08,1,1,5
96126,15,2012-06-13,2012-08-15,0,0,6
95551,16,2012-05-23,2012-08-02,1,0,4
97880,17,2012-05-22,2012-06-15,1,0,3
37756,18,2012-01-10,2013-06-03,1,1,8
26780,18,2012-04-05,2013-01-26,1,1,9
57949,18,2012-04-18,2012-05-27,0,0,10
62439,19,2013-07-08,2013-09-16,1,0,1
39548,19,2013-09-20,2014-08-29,0,0,2
92285,21,2013-04-20,2013-11-17,0,0,0
5690,24,2012-12-25,2013-01-07,1,0,3
53979,25,2013-01-01,2014-07-19,1,0,4
56694,26,2012-05-24,2013-06-04,1,0,4
49541,26,2013-07-15,2013-08-11,1,0,5
19794,27,2013-02-24,2013-09-17,0,1,5
41639,27,2013-04-05,2013-08-08,1,0,6
17452,28,2012-02-27,2015-04-25,0,1,1
42058,28,2013-10-21,2014-12-14,0,0,2
85632,29,2013-02-24,2014-11-17,0,0,0
13461,30,2012-06-13,2012-08-21,0,1,4
31947,30,2012-07-12,2012-08-17,0,0,5
84054,31,2012-02-16,2012-02-19,1,0,1
44949,31,2012-04-16,2012-04-17,0,0,2
47065,31,2013-06-10,2015-02-28,1,0,3
14533,32,2012-12-20,2013-03-26,0,1,4
71301,32,2013-01-22,2013-02-22,1,0,5
46713,32,2013-07-20,2013-09-28,0,0,6
21661,33,2013-05-04,2013-05-27,1,0,4
22766,35,2012-02-22,2012-06-03,0,0,3
90558,35,2013-04-08,2013-10-20,1,0,4
55805,38,2013-03-08,2013-04-26,0,0,1
19340,40,2013-04-19,2013-10-24,1,1,2
15276,40,2013-10-05,2013-11-14,0,0,3
15915,42,2012-10-27,2013-04-20,0,0,0
77316,45,2012-10-21,2012-11-25,0,0,1
73058,45,2013-09-21,2014-04-17,0,0,2
53091,46,2012-03-29,2013-02-23,0,0,1
51950,47,2012-10-06,2013-08-13,0,1,7
62700,47,2013-05-23,2013-08-12,0,0,8
14024,48,2012-02-25,2012-12-08,1,1,3
30130,48,2012-09-20,2013-02-26,1,1,4
9751,48,2012-11-20,2015-03-02,1,1,5
11487,48,2013-01-31,2013-05-13,0,0,6
78890,51,2012-08-01,2013-08-01,1,1,4
46959,51,2013-03-09,2014-10-02,1,0,5
31939,52,2012-04-20,2012-09-13,0,0,1
22397,52,2013-08-20,2014-03-07,0,1,2
22929,52,2013-10-10,2013-10-24,1,0,3
72741,53,2013-01-02,2013-04-04,0,0,0
86359,54,2012-07-17,2012-08-19,0,0,4
34656,54,2012-12-09,2012-12-12,1,0,5
37435,54,2012-12-14,2013-03-20,0,0,6
78503,54,2013-05-16,2014-09-05,1,0,7
66086,57,2012-05-02,2012-08-27,1,1,7
43434,57,2012-08-26,2013-01-11,1,0,8
35937,57,2013-07-12,2015-08-29,1,0,9
80982,58,2013-08-22,2013-11-18,0,0,3
98839,59,2012-03-24,2012-06-08,0,0,2
33393,63,2012-06-21,2012-09-06,0,0,4
74351,63,2013-03-02,2013-04-09,1,0,5
12722,64,2013-04-10,2013-04-22,1,0,3
85331,66,2012-06-26,2013-07-01,1,0,3
92930,67,2012-01-15,2012-05-07,1,0,2
27650,69,2013-05-17,2013-12-18,1,0,1
92348,70,2012-03-04,2012-06-14,1,0,3
71042,70,2012-08-29,2013-02-27,0,1,4
71464,70,2012-09-24,2012-10-14,1,0,5
16654,70,2013-02-04,2013-03-06,1,1,6
93682,70,2013-03-01,2014-02-28,1,1,7
46263,70,2013-07-16,2014-01-24,1,0,8
20960,71,2012-04-29,2013-01-22,0,0,3
62369,71,2013-05-31,2013-09-15,1,0,4
53284,72,2013-01-26,2013-11-06,1,0,2
79001,73,2012-05-21,2012-11-19,0,0,1
18521,73,2013-01-02,2013-05-11,0,0,2
69525,74,2012-02-04,2012-04-16,1,0,4
28846,74,2013-10-21,2014-02-23,1,0,5
76077,75,2013-04-25,2013-11-07,0,1,3
57151,75,2013-08-23,2013-11-15,0,0,4
23459,77,2012-06-21,2013-07-09,0,0,5
6575,79,2012-03-09,2012-09-28,0,1,5
2949,79,2012-08-30,2012-09-03,0,0,6
78190,79,2013-05-30,2014-11-20,1,1,7
34507,79,2013-07-22,2014-03-19,0,0,8
